config,run,norm,eps,acc
mnist_mlp_opb_beta1_scale12,3,linf,0.25,0.07600000500679016
mnist_mlp_opb_beta1_scale12,3,linf,0.3,0.039000000804662704
mnist_mlp_opb_beta1_scale12,3,l2,0.5,0.9660000205039978
mnist_mlp_opb_beta1_scale12,3,l2,1,0.9250000715255737
mnist_mlp_opb_beta1_scale12,3,l2,1.5,0.8180000185966492
mnist_mlp_opb_beta1_scale12,3,l2,2,0.64000004529953
mnist_mlp_opb_beta1_scale12,3,l2,2.5,0.4700000286102295
mnist_mlp_opb_beta1_scale12,3,l2,3,0.3530000150203705
mnist_mlp_opb_beta1_scale12,4,none,0,0.9810000658035278
mnist_mlp_opb_beta1_scale12,4,linf,0.05,0.9170000553131104
mnist_mlp_opb_beta1_scale12,4,linf,0.1,0.593000054359436
mnist_mlp_opb_beta1_scale12,4,linf,0.15,0.36900001764297485
mnist_mlp_opb_beta1_scale12,4,linf,0.2,0.203000009059906
mnist_mlp_opb_beta1_scale12,4,linf,0.25,0.0990000069141388
mnist_mlp_opb_beta1_scale12,4,linf,0.3,0.04800000041723251
mnist_mlp_opb_beta1_scale12,4,l2,0.5,0.9640000462532043
mnist_mlp_opb_beta1_scale12,4,l2,1,0.9230000376701355
mnist_mlp_opb_beta1_scale12,4,l2,1.5,0.8350000381469727
mnist_mlp_opb_beta1_scale12,4,l2,2,0.6290000081062317
mnist_mlp_opb_beta1_scale12,4,l2,2.5,0.48500001430511475
mnist_mlp_opb_beta1_scale12,4,l2,3,0.3760000169277191
mnist_mlp_opb_beta1_scale12,5,none,0,0.9820000529289246
mnist_mlp_opb_beta1_scale12,5,linf,0.05,0.921000063419342
mnist_mlp_opb_beta1_scale12,5,linf,0.1,0.6110000014305115
mnist_mlp_opb_beta1_scale12,5,linf,0.15,0.3710000216960907
mnist_mlp_opb_beta1_scale12,5,linf,0.2,0.2120000123977661
mnist_mlp_opb_beta1_scale12,5,linf,0.25,0.11300000548362732
mnist_mlp_opb_beta1_scale12,5,linf,0.3,0.06200000271201134
mnist_mlp_opb_beta1_scale12,5,l2,0.5,0.9640000462532043
mnist_mlp_opb_beta1_scale12,5,l2,1,0.9290000200271606
mnist_mlp_opb_beta1_scale12,5,l2,1.5,0.8490000367164612
mnist_mlp_opb_beta1_scale12,5,l2,2,0.6720000505447388
mnist_mlp_opb_beta1_scale12,5,l2,2.5,0.5020000338554382
mnist_mlp_opb_beta1_scale12,5,l2,3,0.38200002908706665
mnist_mlp_ceb_beta1,1,none,0,0.0990000069141388
mnist_mlp_ceb_beta1,1,linf,0.05,0.0990000069141388
